release_year,FilmID,Title,Mood,Theme,NarrativeStyle,EmotionalTone,Description
2021,0,Spider-Man: No Way Home,heroic,neutral,"mystery, drama","Action, Adventure, Science Fiction","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man. Genre: Action, Adventure, Science Fiction"
2022,1,The Batman,"dark, uplifting","crime, family","mystery, drama","Crime, Mystery, Thriller","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler. Genre: Crime, Mystery, Thriller"
2022,2,No Exit,tense,"survival, family",neutral,Thriller,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper. Genre: Thriller"
2021,3,Encanto,"uplifting, tense, heroic","fantasy, family","action, drama","Animation, Comedy, Family, Fantasy","The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope. Genre: Animation, Comedy, Family, Fantasy"
2021,4,The King's Man,neutral,neutral,neutral,"Action, Adventure, Thriller, War","As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them. Genre: Action, Adventure, Thriller, War"
2022,5,The Commando,"uplifting, tense",family,"action, drama","Action, Crime, Thriller","An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals. Genre: Action, Crime, Thriller"
2022,6,Scream,dark,crime,neutral,"Horror, Mystery, Thriller","Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past. Genre: Horror, Mystery, Thriller"
2022,7,Kimi,dark,neutral,neutral,Thriller,"A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: she must leave her apartment. Genre: Thriller"
2022,8,Fistful of Vengeance,"dark, heroic",crime,action,"Action, Crime, Fantasy","A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok. Genre: Action, Crime, Fantasy"
2021,9,Eternals,neutral,neutral,neutral,Science Fiction,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants. Genre: Science Fiction"
2022,10,Pursuit,dark,neutral,neutral,"Action, Crime, Thriller","Detective Breslin crosses paths with Calloway, a ruthless hacker desperate to find his wife, who has been kidnapped by a drug cartel. When Calloway escapes police custody, Breslin joins forces with a no-nonsense female cop to reclaim his prisoner. But is Calloway’s crime-boss father somehow involved in this explosive situation? Genre: Action, Crime, Thriller"
2021,11,My Hero Academia: World Heroes' Mission,heroic,fantasy,neutral,"Animation, Action, Fantasy, Adventure","A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-classic selected hero team. It is up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia. Genre: Animation, Action, Fantasy, Adventure"
2022,12,Restless,neutral,neutral,drama,"Action, Thriller, Crime","After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness. Genre: Action, Thriller, Crime"
2021,13,Nightmare Alley,neutral,neutral,neutral,"Crime, Drama, Thriller","An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is. Genre: Crime, Drama, Thriller"
2022,14,The Ice Age Adventures of Buck Wild,neutral,neutral,neutral,"Animation, Comedy, Adventure, Family","The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World. Genre: Animation, Comedy, Adventure, Family"
2022,15,Hotel Transylvania: Transformania,neutral,neutral,neutral,"Animation, Family, Fantasy, Comedy, Adventure","When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy. Genre: Animation, Family, Fantasy, Comedy, Adventure"
2022,16,Texas Chainsaw Massacre,dark,crime,drama,Horror,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin. Genre: Horror"
2022,17,The Requin,heroic,survival,action,Thriller,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below. Genre: Thriller"
2022,18,Looop Lapeta,neutral,neutral,neutral,"Action, Comedy, Crime","When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends. Genre: Action, Comedy, Crime"
2021,19,Red Notice,neutral,neutral,neutral,"Action, Comedy, Crime, Thriller","An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen. Genre: Action, Comedy, Crime, Thriller"
2021,20,Sing 2,neutral,neutral,neutral,"Animation, Comedy, Family, Music","Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage. Genre: Animation, Comedy, Family, Music"
2022,21,The Jack in the Box: Awakening,neutral,neutral,neutral,Horror,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims. Genre: Horror"
2021,22,Venom: Let There Be Carnage,dark,crime,neutral,"Science Fiction, Action, Adventure","After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady. Genre: Science Fiction, Action, Adventure"
2021,23,The Matrix Resurrections,neutral,neutral,drama,"Science Fiction, Action, Adventure","Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix. Genre: Science Fiction, Action, Adventure"
2021,24,Resident Evil: Welcome to Raccoon City,neutral,neutral,neutral,"Horror, Action, Science Fiction","Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night. Genre: Horror, Action, Science Fiction"
2021,25,Last Man Down,neutral,neutral,neutral,"Action, Thriller","After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago. Genre: Action, Thriller"
2022,26,American Siege,neutral,neutral,neutral,"Action, Thriller, Crime, Drama","An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage. Genre: Action, Thriller, Crime, Drama"
2022,27,Uncharted,neutral,neutral,neutral,"Action, Adventure","A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother. Genre: Action, Adventure"
2020,28,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,neutral,fantasy,neutral,"Animation, Action, Adventure, Fantasy","Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it! Genre: Animation, Action, Adventure, Fantasy"
2021,29,Ghostbusters: Afterlife,neutral,neutral,mystery,"Fantasy, Comedy, Adventure","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind. Genre: Fantasy, Comedy, Adventure"
2022,30,The 355,neutral,neutral,neutral,"Action, Thriller","A group of top female agents from American, British, Chinese, Columbian and German  government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos. Genre: Action, Thriller"
2021,31,Shang-Chi and the Legend of the Ten Rings,neutral,neutral,neutral,"Action, Adventure, Fantasy","Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization. Genre: Action, Adventure, Fantasy"
2022,32,Marry Me,neutral,neutral,neutral,"Romance, Comedy, Music","Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead. Genre: Romance, Comedy, Music"
2022,33,The Hunting,neutral,neutral,neutral,Horror,"When a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife specialist to uncover the dark and disturbing truth that threatens the town. Genre: Horror"
2021,34,West Side Story,neutral,neutral,neutral,"Drama, Romance, Crime","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy. Genre: Drama, Romance, Crime"
2022,35,Through My Window,uplifting,family,drama,"Romance, Drama","Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections. Genre: Romance, Drama"
2021,36,The Seven Deadly Sins: Cursed by Light,neutral,neutral,drama,"Animation, Fantasy","With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path. Genre: Animation, Fantasy"
2021,37,One Shot,neutral,neutral,neutral,Action,"An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner. Genre: Action"
2022,38,Tom and Jerry: Cowboy Up!,neutral,neutral,neutral,"Animation, Comedy, Family, Western","This time, the rivals team up to help a cowgirl and her brother save their homestead from a greedy land-grabber, and they’re going to need some help! Jerry’s three precocious nephews are all ready for action, and Tom is rounding up a posse of prairie dogs. But can a ragtag band of varmints defeat a deceitful desperado determined to deceive a damsel in distress? No matter what happens with Tom and Jerry in the saddle, it’ll be a rootin’ tootin’ good time! Genre: Animation, Comedy, Family, Western"
2020,39,Chernobyl: Abyss,neutral,fantasy,neutral,"Drama, History, Adventure","The aftermath of a shocking explosion at the Chernobyl nuclear power station made hundreds of people sacrifice their lives to clean up the site of the catastrophe and to successfully prevent an even bigger disaster that could have turned a large part of the European continent into an uninhabitable exclusion zone. This is their story. Genre: Drama, History, Adventure"
2022,40,Desperate Riders,uplifting,family,drama,"Western, Action","After Kansas Red rescues young Billy from a card-game shootout, the boy asks Red for help protecting his family from the outlaw Thorn, who’s just kidnapped Billy’s mother, Carol. As Red and Billy ride off to rescue Carol, they run into beautiful, tough-as-nails Leslie, who’s managed to escape Thorn’s men. The three race to stop Thorn’s wedding to Carol with guns a-blazing - but does she want to be rescued? Genre: Western, Action"
2021,41,Clifford the Big Red Dog,heroic,neutral,action,"Family, Adventure, Comedy, Fantasy","As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love. Genre: Family, Adventure, Comedy, Fantasy"
2022,42,Tyler Perry's A Madea Homecoming,uplifting,family,drama,Comedy,Madea's back - hallelujer! And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration. Genre: Comedy
